row,tissue_diff_2nd_analysis
Lsa_00034131,NA
Lsa_00034131,NA
Lsa_00034131,NA
Lsa_00034132,NA
Lsa_00006662,NA
Lsa_00029172,NA
Lsa_00029172,NA
Lsa_00029172,NA
Lsa_00054619,NA
Lsa_00041138,both
Lsa_00013785,both
Lsa_00013785,both
Lsa_00034336,NA
Lsa_00027699,both
Lsa_00034337,NA
Lsa_00010131,NA
Lsa_00010131,NA
Lsa_00010131,NA
Lsa_00011375,NA
Lsa_00011375,NA
Lsa_00034334,NA
Lsa_00021366,NA
Lsa_00021366,NA
Lsa_00021366,NA
Lsa_00021361,NA
Lsa_00021360,NA
Lsa_00021360,NA
Lsa_00021368,NA
Lsa_00021368,NA
Lsa_00021368,NA
Lsa_00021368,NA
Lsa_00021368,NA
Lsa_00051357,sax
Lsa_00034332,NA
Lsa_00020829,NA
Lsa_00029288,NA
Lsa_00029288,NA
Lsa_00024464,NA
Lsa_00031003,NA
Lsa_00031003,NA
Lsa_00029282,NA
Lsa_00029282,NA
Lsa_00024468,NA
Lsa_00024468,NA
Lsa_00024468,NA
Lsa_00024468,NA
Lsa_00024468,NA
Lsa_00024468,NA
Lsa_00023857,NA
Lsa_00023855,NA
Lsa_00023854,NA
Lsa_00004229,NA
Lsa_00004228,NA
Lsa_00004221,both
Lsa_00004220,NA
Lsa_00004226,both
Lsa_00004226,both
Lsa_00004226,both
Lsa_00004226,both
Lsa_00004226,both
Lsa_00004226,both
Lsa_00004224,NA
Lsa_00029826,NA
Lsa_00029826,NA
Lsa_00029827,NA
Lsa_00029827,NA
Lsa_00029827,NA
Lsa_00029827,NA
Lsa_00029820,NA
Lsa_00029820,NA
Lsa_00029820,NA
Lsa_00029820,NA
Lsa_00025338,NA
Lsa_00025338,NA
Lsa_00025338,NA
Lsa_00025338,NA
Lsa_00025339,NA
Lsa_00022108,NA
Lsa_00022108,NA
Lsa_00025336,NA
Lsa_00025336,NA
Lsa_00025336,NA
Lsa_00025336,NA
Lsa_00025336,NA
Lsa_00025337,NA
Lsa_00025337,NA
Lsa_00025337,NA
Lsa_00022103,NA
Lsa_00022103,NA
Lsa_00022103,NA
Lsa_00004591,NA
Lsa_00004591,NA
Lsa_00004591,NA
Lsa_00004591,NA
Lsa_00004592,NA
Lsa_00004597,both
Lsa_00023277,both
Lsa_00023275,both
Lsa_00023274,both
Lsa_00023274,both
Lsa_00023272,NA
Lsa_00023272,NA
Lsa_00058098,NA
Lsa_00011102,NA
Lsa_00011102,NA
Lsa_00056965,NA
Lsa_00019373,NA
Lsa_00019373,NA
Lsa_00019372,NA
Lsa_00019372,NA
Lsa_00038521,NA
Lsa_00038521,NA
Lsa_00038521,NA
Lsa_00038521,NA
Lsa_00038521,NA
Lsa_00056969,NA
Lsa_00024002,NA
Lsa_00038527,arc
Lsa_00024006,NA
Lsa_00024006,NA
Lsa_00005172,NA
Lsa_00005178,sax
Lsa_00026258,both
Lsa_00026258,both
Lsa_00018424,NA
Lsa_00018424,NA
Lsa_00018425,NA
Lsa_00018426,arc
Lsa_00018426,arc
Lsa_00018420,both
Lsa_00018421,both
Lsa_00018423,arc
Lsa_00048073,NA
Lsa_00018429,arc
Lsa_00018429,arc
Lsa_00018429,arc
Lsa_00027166,NA
Lsa_00027166,NA
Lsa_00048672,NA
Lsa_00048672,NA
Lsa_00017191,NA
Lsa_00017191,NA
Lsa_00017191,NA
Lsa_00017191,NA
Lsa_00017193,NA
Lsa_00023811,both
Lsa_00058265,NA
Lsa_00002332,NA
Lsa_00002331,NA
Lsa_00002334,NA
Lsa_00002339,NA
Lsa_00002338,NA
Lsa_00016570,NA
Lsa_00016570,NA
Lsa_00016570,NA
Lsa_00016570,NA
Lsa_00016571,sax
Lsa_00016571,sax
Lsa_00016571,sax
Lsa_00016571,sax
Lsa_00016578,both
Lsa_00050478,NA
Lsa_00050478,NA
Lsa_00050478,NA
Lsa_00050476,both
Lsa_00020191,NA
Lsa_00006521,NA
Lsa_00006521,NA
Lsa_00044490,NA
Lsa_00043440,NA
Lsa_00026038,sax
Lsa_00034275,NA
Lsa_00034275,NA
Lsa_00034275,NA
Lsa_00034275,NA
Lsa_00034275,NA
Lsa_00012470,both
