"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"333",771,1078,155,0.832613390928726,0.874290348742903,1,1
"334",825,1064,169,0.829979879275654,0.862935928629359,1,1
"335",830,1082,151,0.846075433231397,0.877534468775345,1,1
"336",801,1060,173,0.822381930184805,0.859691808596918,1,1
"337",776,1083,150,0.838012958963283,0.878345498783455,1,1
"338",739,1066,167,0.815673289183223,0.86455798864558,1,1
"339",843,1063,170,0.83218163869694,0.862124898621249,1,1
"340",961,1057,176,0.845206684256816,0.857258718572587,1,1
"341",768,1058,175,0.814422057264051,0.858069748580698,1,1
"342",768,1064,169,0.819637139807898,0.862935928629359,1,1
"343",685,1079,154,0.816448152562575,0.875101378751014,1,1
"344",833,1059,174,0.82720953326713,0.858880778588808,1,1
"345",917,1060,173,0.841284403669725,0.859691808596918,1,1
"346",678,1075,159,0.810035842293907,0.871150729335494,1,1
"347",712,1094,139,0.836662749706228,0.887266828872668,1,1
"348",877,1070,163,0.843269230769231,0.867802108678021,1,1
"349",840,1068,165,0.835820895522388,0.866180048661801,1,1
"350",738,1082,151,0.830146231721035,0.877534468775345,1,1
"351",853,1068,165,0.837917485265226,0.866180048661801,1,1
"352",786,1068,165,0.826498422712934,0.866180048661801,1,1
"353",844,1070,163,0.838133068520358,0.867802108678021,1,1
"354",834,1061,172,0.829025844930418,0.860502838605028,1,1
"355",871,1065,168,0.838306063522618,0.86374695863747,1,1
"356",759,1068,165,0.821428571428571,0.866180048661801,1,1
"357",753,1071,162,0.822950819672131,0.868613138686131,1,1
"358",763,1067,166,0.821313240043057,0.86536901865369,1,1
"359",773,1072,161,0.82762312633833,0.869424168694242,1,1
"360",696,1078,155,0.81786133960047,0.874290348742903,1,1
"361",687,1062,171,0.800699300699301,0.861313868613139,1,1
"362",706,1071,162,0.813364055299539,0.868613138686131,1,1
"363",714,1082,151,0.825433526011561,0.877534468775345,1,1
"364",837,1068,165,0.835329341317365,0.866180048661801,1,1
"365",724,1072,161,0.818079096045198,0.869424168694242,1,1
"366",660,1100,133,0.832282471626734,0.89213300892133,1,1
"367",911,1065,168,0.844300278035218,0.86374695863747,1,1
"368",872,1051,182,0.827324478178368,0.852392538523925,1,1
"369",794,1058,175,0.819401444788442,0.858069748580698,1,1
"370",746,1062,171,0.813522355507088,0.861313868613139,1,1
"371",888,1064,169,0.840113528855251,0.862935928629359,1,1
"372",768,1084,149,0.837513631406761,0.879156528791565,1,1
"373",703,1074,159,0.81554524361949,0.871046228710462,1,1
"374",770,1073,160,0.827956989247312,0.870235198702352,1,1
"375",765,1062,171,0.817307692307692,0.861313868613139,1,1
"376",761,1063,170,0.817400644468314,0.862124898621249,1,1
"377",869,1066,167,0.838803088803089,0.86455798864558,1,1
